"tp_med","ttc","metal"
1.08,0.998601430537205,"Molybdenum"
1.09,1.00034803690442,"Molybdenum"
1.1,1.00214288860757,"Molybdenum"
1.11,1.00398642908147,"Molybdenum"
1.12,1.00587910176094,"Molybdenum"
1.13,1.00782135008083,"Molybdenum"
1.14,1.00981361747594,"Molybdenum"
1.15,1.0118563473811,"Molybdenum"
1.16,1.01394998323115,"Molybdenum"
1.17,1.0160949684609,"Molybdenum"
1.18,1.01829174650518,"Molybdenum"
1.19,1.02054076079882,"Molybdenum"
1.2,1.02284245477663,"Molybdenum"
1.21,1.02519727187345,"Molybdenum"
1.22,1.02760565552411,"Molybdenum"
1.23,1.03006804916341,"Molybdenum"
1.24,1.0325848962262,"Molybdenum"
1.25,1.0351566401473,"Molybdenum"
1.26,1.03778372436152,"Molybdenum"
1.27,1.04046659230371,"Molybdenum"
1.28,1.04320568740867,"Molybdenum"
1.29,1.04600145311124,"Molybdenum"
1.3,1.04885433284624,"Molybdenum"
1.31,1.0517647357435,"Molybdenum"
1.32,1.05473293371284,"Molybdenum"
1.33,1.05775916435908,"Molybdenum"
1.34,1.06084366528704,"Molybdenum"
1.35,1.06398667410155,"Molybdenum"
1.36,1.06718842840742,"Molybdenum"
1.37,1.07044916580948,"Molybdenum"
1.38,1.07376912391255,"Molybdenum"
1.39,1.07714854032145,"Molybdenum"
1.4,1.080587652641,"Molybdenum"
1.41,1.08408669847603,"Molybdenum"
1.42,1.08764591543136,"Molybdenum"
1.43,1.0912655411118,"Molybdenum"
1.44,1.09494581312219,"Molybdenum"
1.45,1.09868696906734,"Molybdenum"
1.46,1.10248924655207,"Molybdenum"
1.47,1.10635288318121,"Molybdenum"
1.48,1.11027811655958,"Molybdenum"
1.49,1.114265184292,"Molybdenum"
1.5,1.11831432398329,"Molybdenum"
1.51,1.12242577323827,"Molybdenum"
1.52,1.12659976966177,"Molybdenum"
1.53,1.1308365508586,"Molybdenum"
1.54,1.13513635443359,"Molybdenum"
1.55,1.13949941799157,"Molybdenum"
1.56,1.14392597913735,"Molybdenum"
1.57,1.14841627547575,"Molybdenum"
1.58,1.1529705446116,"Molybdenum"
1.59,1.15758902414971,"Molybdenum"
1.6,1.16227195169492,"Molybdenum"
1.61,1.16701956485204,"Molybdenum"
1.62,1.17183210122589,"Molybdenum"
1.63,1.17670979842129,"Molybdenum"
1.64,1.18165289404308,"Molybdenum"
1.65,1.18666162569606,"Molybdenum"
1.66,1.19173623098507,"Molybdenum"
1.67,1.19687694751491,"Molybdenum"
1.68,1.20208401289042,"Molybdenum"
1.69,1.20735766471642,"Molybdenum"
1.7,1.21269814059773,"Molybdenum"
1.71,1.21810567813916,"Molybdenum"
1.72,1.22358051494555,"Molybdenum"
1.73,1.22912288862171,"Molybdenum"
1.74,1.23473303677247,"Molybdenum"
1.75,1.24041119700264,"Molybdenum"
1.76,1.24615760691705,"Molybdenum"
1.77,1.25197250412053,"Molybdenum"
1.78,1.25785612621789,"Molybdenum"
1.79,1.26380871081395,"Molybdenum"
1.8,1.26983049551353,"Molybdenum"
1.81,1.27592171792147,"Molybdenum"
1.82,1.28208261564258,"Molybdenum"
1.83,1.28831342628167,"Molybdenum"
1.84,1.29461438744359,"Molybdenum"
1.85,1.30098573673313,"Molybdenum"
1.86,1.30742771175514,"Molybdenum"
1.87,1.31394055011442,"Molybdenum"
1.88,1.32052448941581,"Molybdenum"
1.89,1.32717976726412,"Molybdenum"
1.9,1.33390662126417,"Molybdenum"
1.91,1.34070528902079,"Molybdenum"
1.92,1.34757600813879,"Molybdenum"
1.93,1.35451901622301,"Molybdenum"
1.94,1.36153455087826,"Molybdenum"
1.95,1.36862284970936,"Molybdenum"
1.96,1.37578415032114,"Molybdenum"
1.97,1.38301869031842,"Molybdenum"
1.98,1.39032670730601,"Molybdenum"
1.99,1.39770843888875,"Molybdenum"
2,1.40516412267145,"Molybdenum"
2.01,1.4126939527851,"Molybdenum"
2.02,1.42029794946532,"Molybdenum"
2.03,1.42797608947391,"Molybdenum"
2.04,1.43572834957266,"Molybdenum"
2.05,1.44355470652336,"Molybdenum"
